
> badminton-web@0.1.0 dev
> next dev --webpack

▲ Next.js 16.2.6 (webpack)
- Local:         http://localhost:3000
- Network:       http://10.15.75.70:3000
- Environments: .env
✓ Ready in 2.2s

○ Compiling / ...
 GET /api/events?page=1&pageSize=50 200 in 329ms (next.js: 20ms, proxy.ts: 44ms, application-code: 265ms)
 GET /api/sessions?page=1&pageSize=50 200 in 1886ms (next.js: 18ms, proxy.ts: 20ms, application-code: 1848ms)
 GET /api/events?page=1&pageSize=50 200 in 320ms (next.js: 30ms, proxy.ts: 14ms, application-code: 276ms)
 GET /api/sessions?page=1&pageSize=50 200 in 2.3s (next.js: 11ms, proxy.ts: 14ms, application-code: 2.2s)
 GET /api/sessions?page=1&pageSize=10 200 in 1759ms (next.js: 11ms, proxy.ts: 42ms, application-code: 1706ms)
○ Compiling /api/groups ...
 GET /api/groups?page=1&pageSize=10 200 in 11.6s (next.js: 9.9s, proxy.ts: 44ms, application-code: 1674ms)
○ Compiling /dashboard ...
○ Compiling /api/events ...
 GET /api/sessions?page=1&pageSize=50 200 in 3.7s (next.js: 26ms, proxy.ts: 94ms, application-code: 3.5s)
 GET /dashboard 200 in 15.0s (next.js: 8.4s, proxy.ts: 856ms, application-code: 5.7s)
 GET /api/events?page=1&pageSize=50 200 in 7.3s (next.js: 6.9s, proxy.ts: 94ms, application-code: 337ms)
 GET /api/groups?page=1&pageSize=10 200 in 337ms (next.js: 27ms, proxy.ts: 14ms, application-code: 296ms)
 GET /api/sessions?page=1&pageSize=10 200 in 1073ms (next.js: 21ms, proxy.ts: 13ms, application-code: 1040ms)
○ Compiling /api/announcements ...
 GET /api/announcements?page=1&pageSize=10 200 in 4.2s (next.js: 3.9s, proxy.ts: 17ms, application-code: 296ms)
 GET /api/events?page=1&pageSize=10 200 in 1879ms (next.js: 1419ms, proxy.ts: 11ms, application-code: 450ms)
 GET /api/events?page=1&pageSize=50 200 in 324ms (next.js: 36ms, proxy.ts: 20ms, application-code: 268ms)
 GET /api/sessions?page=1&pageSize=50 200 in 1914ms (next.js: 20ms, proxy.ts: 20ms, application-code: 1874ms)
 GET /api/events?page=1&pageSize=10 200 in 593ms (next.js: 9ms, proxy.ts: 14ms, application-code: 569ms)
○ Compiling /groups ...
 GET /groups 200 in 5.3s (next.js: 4.6s, proxy.ts: 14ms, application-code: 680ms)
